dataset,source,algorithm,metric,Normalization,Dimensionality_Reduction,final_width,time_prep_mean,time_prep_std,time_fit_mean,time_fit_std,total_time_mean,total_time_std,radius_mean,radius_std,silhouette_mean,silhouette_std,ari_mean,ari_std
ALL,ALL,ALL,ALL,Robust,Sim,0.03125,0.9238934300003165,1.484263265349232,0.002867074666735539,0.003140966480851119,0.9267605046670522,1.4873200724564424,7.501706130665965,4.390584960861576,0.31027954791913664,0.22712517972555443,0.036452836958797696,0.07372415121155872
ALL,ALL,ALL,ALL,Robust,Sim,0.0625,0.9238934300003165,1.484263265349232,0.0025473611112182292,0.002873455250117066,0.9264407911115349,1.487048780145275,7.910269074620358,4.493546286933406,0.34196110088889925,0.2399147779425635,0.029253929870129144,0.07563415915492243
ALL,ALL,ALL,ALL,Robust,Sim,0.125,0.9238934300003165,1.484263265349232,0.0021938091110576675,0.002565364641347698,0.9260872391113742,1.4867576353481355,8.750874780239801,5.27006611786506,0.41965169762957316,0.266028344318676,0.018437429609907716,0.05449586641651293
ALL,ALL,ALL,ALL,Robust,Sim,0.25,0.9238934300003165,1.484263265349232,0.0018922591109892192,0.0026019651823139503,0.9257856891113059,1.486706152021836,9.413492361515857,5.586469995137089,0.5373677084797052,0.23227739005142128,0.008382318951744355,0.027685987451610026
ALL,ALL,ALL,ALL,Robust,Sim,ALL,0.9326126749998366,1.49872902120752,0.0023184500175595178,0.0030136315441159777,0.9349311250173962,1.5011491493526399,7.843944386978139,4.654056009679556,0.3493366165333118,0.23938175143384838,0.03322119110418196,0.08103625824572505
ALL,ALL,ALL,ALL,Robust,Sim,,0.9382991391299583,1.5091225075015626,0.0021662343188770202,0.0030122052960654703,0.9404653734488354,1.5112775566569918,7.617372027823651,4.466926998529206,0.340254579417308,0.23263587381333595,0.038612138147444415,0.09054125777237605
ALL,ALL,ALL,ALL,,ALL,0.015625,0.5400909233332034,0.9410371171608817,0.002870754518494106,0.0020770052195548724,0.5429616778516976,0.9425107017321813,45651.75273611136,315983.62173480785,0.4419501211047559,0.23510819483978032,0.4189021787895993,0.38137790777923486
ALL,ALL,ALL,ALL,,ALL,0.03125,0.5400909233332034,0.9410371171608817,0.002582198296327534,0.001887791881758086,0.5426731216295311,0.9423387423855816,47319.11786115487,329278.86409195693,0.4525350336140456,0.23060577302269442,0.4141229866093331,0.37932961356921724
ALL,ALL,ALL,ALL,,ALL,0.0625,0.5400909233332034,0.9410371171608817,0.0023167227777822793,0.0017341055608053738,0.5424076461109858,0.9422333538928773,47674.33796649816,331997.7998803045,0.463168424874664,0.2314711008325868,0.40064162010635046,0.37595645978464426
ALL,ALL,ALL,ALL,,ALL,0.125,0.5400909233332034,0.9410371171608817,0.00204542937034901,0.0016194260271179923,0.5421363527035525,0.9421429678870206,55144.810413681524,381807.38233953714,0.48975524010277693,0.2246700295490684,0.36919051199291814,0.3743089123340401
ALL,ALL,ALL,ALL,,ALL,0.25,0.5400909233332034,0.9410371171608817,0.00175029092594433,0.0014937506283941432,0.5418412142591478,0.9420458850204003,56174.871925793785,393174.0197099412,0.5384195950419599,0.20120159239833688,0.30395238913062267,0.3407347061223292
ALL,ALL,ALL,ALL,,ALL,ALL,0.5508564123967126,1.130512865875515,0.0021969677569973513,0.013285635087085869,0.55305338015371,1.131584118352646,51971.20072512882,358551.037165408,0.4560874419293923,0.2289972997830455,0.36830064084612707,0.36915003870695323
